id,LOCAL_MONTH,MIN_REL_HUMIDITY,LOCAL_DATE,ID,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DAY,PROVINCE_CODE,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,STATION_NAME,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,LOCAL_YEAR,SPEED_MAX_GUST,SNOW_ON_GROUND
8202251.2013.11.1,11,,2013-11-01 00:00:00,8202251.2013.11.1,8202251,,,,,1,NS,,,,HALIFAX STANFIELD INT'L A,3.3,22.0,14.7,17.6,,0.0,,,17.6,0.0,,,,16.3,13.0,,2013,91.0,
8202251.2013.11.2,11,,2013-11-02 00:00:00,8202251.2013.11.2,8202251,,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,6.4,20.0,11.6,0.6,,0.0,,,0.6,0.0,,,,13.4,9.8,,2013,41.0,
8202251.2013.11.16,11,,2013-11-16 00:00:00,8202251.2013.11.16,8202251,,,,,16,NS,,,,HALIFAX STANFIELD INT'L A,15.1,0.0,2.9,0.0,,0.0,,,0.0,0.0,,,,6.3,-0.5,,2013,0.0,
8202251.2013.11.13,11,,2013-11-13 00:00:00,8202251.2013.11.13,8202251,,,,,13,NS,,,,HALIFAX STANFIELD INT'L A,21.4,32.0,-3.4,0.0,,0.0,,,0.0,0.0,,,,-0.7,-6.1,,2013,48.0,1.0
8202251.2013.11.6,11,,2013-11-06 00:00:00,8202251.2013.11.6,8202251,,,,,6,NS,,,,HALIFAX STANFIELD INT'L A,12.5,21.0,5.5,0.5,,0.0,,,0.5,0.0,,,,10.0,1.0,,2013,37.0,
8202251.2013.11.5,11,,2013-11-05 00:00:00,8202251.2013.11.5,8202251,,,,,5,NS,,,,HALIFAX STANFIELD INT'L A,16.0,0.0,2.0,0.0,,0.0,,,0.0,0.0,,,,5.7,-1.7,,2013,0.0,
8202251.2013.11.26,11,,2013-11-26 00:00:00,8202251.2013.11.26,8202251,,,,T,26,NS,,,,HALIFAX STANFIELD INT'L A,19.4,24.0,-1.4,4.6,,0.0,,,4.6,0.0,,,,5.0,-7.7,,2013,39.0,0.0
8202251.2013.11.17,11,,2013-11-17 00:00:00,8202251.2013.11.17,8202251,,,,,17,NS,,,,HALIFAX STANFIELD INT'L A,15.1,0.0,2.9,0.0,,0.0,,,0.0,0.0,,,,4.4,1.4,,2013,0.0,
8202251.2013.11.3,11,,2013-11-03 00:00:00,8202251.2013.11.3,8202251,,,,,3,NS,,,,HALIFAX STANFIELD INT'L A,13.8,1.0,4.2,1.3,,0.0,,,1.3,0.0,,,,9.8,-1.5,,2013,48.0,
8202251.2013.11.29,11,,2013-11-29 00:00:00,8202251.2013.11.29,8202251,,,,,29,NS,,,,HALIFAX STANFIELD INT'L A,24.1,31.0,-6.1,0.0,,0.2,,,0.2,0.0,,,,-3.5,-8.7,,2013,44.0,
