id,ID,LAST_UPDATED,DAYS_WITH_VALID_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,STATION_NAME,LOCAL_YEAR,MEAN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,LOCAL_DATE,NORMAL_SNOWFALL,FRE_PROVINCE_NAME,DAYS_WITH_VALID_SNOWFALL,CLIMATE_IDENTIFIER,NORMAL_PRECIPITATION,LOCAL_MONTH,MAX_TEMPERATURE,HEATING_DEGREE_DAYS,LATITUDE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_MEAN_TEMP,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_PRECIP,NORMAL_SUNSHINE,LONGITUDE,PROVINCE_CODE,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,TOTAL_SNOWFALL,DAYS_WITH_PRECIP_GE_1MM
50620.2014.3,50620.2014.3,2023-09-21 09:53:56,0,1.0,HALIFAX STANFIELD INT'L A,2014,-4.112903225806452,31,-19.5,0,2014-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,11.3,685.5,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,165.4,36.8,10
50620.2013.11,50620.2013.11,2023-07-19 10:45:12,0,0.0,HALIFAX STANFIELD INT'L A,2013,2.6266666666666665,30,-9.5,0,2013-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,16.3,461.2,44.881,,30,30,,30,,-63.509,NS,NOVA SCOTIA,184.5,3.0,10
50620.2013.12,50620.2013.12,2023-07-19 10:57:42,0,10.0,HALIFAX STANFIELD INT'L A,2013,-4.225806451612903,31,-19.0,0,2013-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,11.2,689.0,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,197.9,80.5,20
50620.2014.1,50620.2014.1,2024-03-18 09:46:18,0,17.0,HALIFAX STANFIELD INT'L A,2014,-4.425806451612903,31,-22.6,0,2014-01,,NOUVELLE-ÉCOSSE,31,8202251,,1,12.3,695.2,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,241.1,99.4,19
50620.2014.2,50620.2014.2,2024-03-18 09:45:49,0,12.0,HALIFAX STANFIELD INT'L A,2014,-5.053571428571429,28,-19.4,0,2014-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,8.8,645.5,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,131.6,50.4,16
50620.2015.1,50620.2015.1,2023-09-21 09:50:56,0,14.0,HALIFAX STANFIELD INT'L A,2015,-6.787096774193548,31,-19.4,0,2015-01,,NOUVELLE-ÉCOSSE,30,8202251,,1,9.8,768.4,44.881,,31,31,,30,,-63.509,NS,NOVA SCOTIA,141.4,59.2,14
50620.2014.12,50620.2014.12,2023-09-21 09:56:34,0,0.0,HALIFAX STANFIELD INT'L A,2014,0.49032258064516127,31,-16.4,0,2014-12,,NOUVELLE-ÉCOSSE,31,8202251,,12,16.6,542.8,44.881,,31,31,,30,,-63.509,NS,NOVA SCOTIA,278.0,3.0,15
50620.2015.2,50620.2015.2,2023-09-21 09:58:03,0,,HALIFAX STANFIELD INT'L A,2015,-9.95357142857143,28,-21.7,0,2015-02,,NOUVELLE-ÉCOSSE,28,8202251,,2,5.5,782.7,44.881,,28,28,,28,,-63.509,NS,NOVA SCOTIA,161.3,130.8,18
50620.2015.3,50620.2015.3,2023-09-21 09:58:03,0,60.0,HALIFAX STANFIELD INT'L A,2015,-4.725806451612903,31,-17.4,0,2015-03,,NOUVELLE-ÉCOSSE,31,8202251,,3,8.9,704.5,44.881,,31,31,,31,,-63.509,NS,NOVA SCOTIA,178.1,146.7,15
50620.2014.11,50620.2014.11,2023-09-21 09:59:16,0,,HALIFAX STANFIELD INT'L A,2014,3.6766666666666667,30,-8.6,0,2014-11,,NOUVELLE-ÉCOSSE,30,8202251,,11,17.3,429.7,44.881,,30,30,,29,,-63.509,NS,NOVA SCOTIA,210.9,4.0,13
