LOCAL_DATE,LOCAL_YEAR,FRE_PROVINCE_NAME,LATITUDE,DAYS_WITH_VALID_MEAN_TEMP,MAX_TEMPERATURE,SNOW_ON_GROUND_LAST_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,LONGITUDE,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_SNOWFALL,HEATING_DEGREE_DAYS,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,NORMAL_SNOWFALL,DAYS_WITH_VALID_MAX_TEMP,BRIGHT_SUNSHINE,ENG_PROVINCE_NAME,ID,LAST_UPDATED,TOTAL_SNOWFALL,NORMAL_PRECIPITATION,DAYS_WITH_VALID_SUNSHINE,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,PROVINCE_CODE,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,TOTAL_PRECIPITATION
2014-03,2014,NOUVELLE-ÉCOSSE,44.881,31,11.3,1.0,-4.112903225806452,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,685.5,3,,,31,,NOVA SCOTIA,50620.2014.3,2023-09-21 09:53:56,36.8,,0,31,10,NS,8202251,-19.5,165.4
2014-01,2014,NOUVELLE-ÉCOSSE,44.881,31,12.3,17.0,-4.425806451612903,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,695.2,1,,,31,,NOVA SCOTIA,50620.2014.1,2024-03-18 09:46:18,99.4,,0,31,19,NS,8202251,-22.6,241.1
2014-02,2014,NOUVELLE-ÉCOSSE,44.881,28,8.8,12.0,-5.053571428571429,0,HALIFAX STANFIELD INT'L A,,-63.509,28,28,645.5,2,,,28,,NOVA SCOTIA,50620.2014.2,2024-03-18 09:45:49,50.4,,0,28,16,NS,8202251,-19.4,131.6
2013-11,2013,NOUVELLE-ÉCOSSE,44.881,30,16.3,0.0,2.6266666666666665,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,461.2,11,,,30,,NOVA SCOTIA,50620.2013.11,2023-07-19 10:45:12,3.0,,0,30,10,NS,8202251,-9.5,184.5
2013-12,2013,NOUVELLE-ÉCOSSE,44.881,31,11.2,10.0,-4.225806451612903,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,689.0,12,,,31,,NOVA SCOTIA,50620.2013.12,2023-07-19 10:57:42,80.5,,0,31,20,NS,8202251,-19.0,197.9
2015-01,2015,NOUVELLE-ÉCOSSE,44.881,31,9.8,14.0,-6.787096774193548,0,HALIFAX STANFIELD INT'L A,,-63.509,31,30,768.4,1,,,31,,NOVA SCOTIA,50620.2015.1,2023-09-21 09:50:56,59.2,,0,30,14,NS,8202251,-19.4,141.4
2014-12,2014,NOUVELLE-ÉCOSSE,44.881,31,16.6,0.0,0.49032258064516127,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,542.8,12,,,31,,NOVA SCOTIA,50620.2014.12,2023-09-21 09:56:34,3.0,,0,30,15,NS,8202251,-16.4,278.0
2015-02,2015,NOUVELLE-ÉCOSSE,44.881,28,5.5,,-9.95357142857143,0,HALIFAX STANFIELD INT'L A,,-63.509,28,28,782.7,2,,,28,,NOVA SCOTIA,50620.2015.2,2023-09-21 09:58:03,130.8,,0,28,18,NS,8202251,-21.7,161.3
2015-03,2015,NOUVELLE-ÉCOSSE,44.881,31,8.9,60.0,-4.725806451612903,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,704.5,3,,,31,,NOVA SCOTIA,50620.2015.3,2023-09-21 09:58:03,146.7,,0,31,15,NS,8202251,-17.4,178.1
2014-11,2014,NOUVELLE-ÉCOSSE,44.881,30,17.3,,3.6766666666666667,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,429.7,11,,,30,,NOVA SCOTIA,50620.2014.11,2023-09-21 09:59:16,4.0,,0,29,13,NS,8202251,-8.6,210.9
